hint,coding_id,sample_id,coding_scheme,coding_result,
,D16,' 10-11669-0 ',OPTIONAL please copy and paste the link to the citation request:,NA,
,D17,' 10-11669-0 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 10-11669-0 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 10-11669-0 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 11-252-5 ',The extracted mention is a mention of software.,1,
,A2,' 11-252-5 ',"The mention is an ""instrument-like"" mention.",1,
Check `software_name`,A3,' 11-252-5 ',The name of the mentioned software is given in context.,1,
,A4,' 11-252-5 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 11-252-5 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 11-252-5 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 11-252-5 ',The publisher/developer of the mentioned software is given in context.,1,
,A8,' 11-252-5 ',The extracted `publisher` is the publisher/creator of the mentioned software.,1,
Check `URL`,A9,' 11-252-5 ',The URL of the mentioned software is given in context.,0,
,A10,' 11-252-5 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 11-252-5 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 11-252-5 ',The mentioned software is used according to the context.,1,
,A13,' 11-252-5 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 11-252-5 ',The mention has an extracted reference entry from bibliography.,0,
,B2,' 11-252-5 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 11-252-5 ',The reference is a software publication.,NA,
,B4,' 11-252-5 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 11-252-5 ',The reference is a domain science publication.,NA,
,B6,' 11-252-5 ',The reference is a software manual/user guide.,NA,
,B7,' 11-252-5 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 11-252-5 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 11-252-5 ',The reference string contains the name of the software.,NA,
,B10,' 11-252-5 ',The reference string contains version/release date of the software.,NA,
,B11,' 11-252-5 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 11-252-5 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 11-252-5 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 11-252-5 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 11-252-5 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 11-252-5 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 11-252-5 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 11-252-5 ',There is no access to the software.,0,
,C7,' 11-252-5 ',There is only purchase access to the software.,0,
,C8,' 11-252-5 ',There is free access to the software.,1,
,C9,' 11-252-5 ',The source code of the software is accessible.,0,Probably but I can't find it
,C10,' 11-252-5 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",0,
,C11,' 11-252-5 ',The software has an open souce license.,0,
Citation request,D1,' 11-252-5 ',The software citation matches its citation request.,0,"No citation, but there was a request"
,D2,' 11-252-5 ',The software has a publically accessible citation request in plain text style.,1,
,D3,' 11-252-5 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 11-252-5 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 11-252-5 ',The citation request is on project/software website.,1,
,D6,' 11-252-5 ',The software has a publically accessible CITATION file.,0,
,D7,' 11-252-5 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 11-252-5 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 11-252-5 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 11-252-5 ',The citation request points to the software itself.,0,
,D11,' 11-252-5 ',The citation request points to a software publication.,1,
,D12,' 11-252-5 ',The citation request points to a domain science publication.,0,
,D13,' 11-252-5 ',The citation request points to a project.,0,
,D14,' 11-252-5 ',The citation request points to a non-software product other than the ones specified above.,0,
,D15,' 11-252-5 ',OPTIONAL please specify the type of the requested citation object:,Book chapter,
,D16,' 11-252-5 ',OPTIONAL please copy and paste the link to the citation request:,"From https://web.expasy.org/peptide_cutter/peptidecutter_references.html ExPASy PeptideCutter tool:
Gasteiger E., Hoogland C., Gattiker A., Duvaud S., Wilkins M.R., Appel R.D., Bairoch A.;
Protein Identification and Analysis Tools on the ExPASy Server;
(In) John M. Walker (ed): The Proteomics Protocols Handbook, Humana Press (2005).
Full text - Copyright Humana Press.",
,D17,' 11-252-5 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 11-252-5 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 11-252-5 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 11-2356-5 ',The extracted mention is a mention of software.,1,
,A2,' 11-2356-5 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 11-2356-5 ',The name of the mentioned software is given in context.,1,
,A4,' 11-2356-5 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 11-2356-5 ',The version/release date of the mentioned software is given in context.,0,So where did the version and publisher extraction come from?
,A6,' 11-2356-5 ',The extracted `version` is an existing version of the mentioned software.,NA,I can't find anything other than a brochure site
Check `publisher`,A7,' 11-2356-5 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 11-2356-5 ',The extracted `publisher` is the publisher/creator of the mentioned software.,1,Although no idea where it came from?  Entity fishing?
Check `URL`,A9,' 11-2356-5 ',The URL of the mentioned software is given in context.,0,
,A10,' 11-2356-5 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 11-2356-5 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 11-2356-5 ',The mentioned software is used according to the context.,1,
,A13,' 11-2356-5 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 11-2356-5 ',The mention has an extracted reference entry from bibliography.,0,
,B2,' 11-2356-5 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 11-2356-5 ',The reference is a software publication.,NA,
,B4,' 11-2356-5 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 11-2356-5 ',The reference is a domain science publication.,NA,
,B6,' 11-2356-5 ',The reference is a software manual/user guide.,NA,
,B7,' 11-2356-5 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 11-2356-5 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 11-2356-5 ',The reference string contains the name of the software.,NA,
,B10,' 11-2356-5 ',The reference string contains version/release date of the software.,NA,
,B11,' 11-2356-5 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 11-2356-5 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 11-2356-5 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 11-2356-5 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 11-2356-5 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",0,
,C4,' 11-2356-5 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 11-2356-5 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 11-2356-5 ',There is no access to the software.,0,
,C7,' 11-2356-5 ',There is only purchase access to the software.,1,
,C8,' 11-2356-5 ',There is free access to the software.,0,
,C9,' 11-2356-5 ',The source code of the software is accessible.,0,
,C10,' 11-2356-5 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",0,
,C11,' 11-2356-5 ',The software has an open souce license.,0,
Citation request,D1,' 11-2356-5 ',The software citation matches its citation request.,NA,"not clear there is a citation request, so no citation does match?  Their site talks about citations but doesn't suggest a format.  Expect ""Like instrument"" since it is for a microscope "
,D2,' 11-2356-5 ',The software has a publically accessible citation request in plain text style.,0,
,D3,' 11-2356-5 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 11-2356-5 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 11-2356-5 ',The citation request is on project/software website.,0,
,D6,' 11-2356-5 ',The software has a publically accessible CITATION file.,0,
,D7,' 11-2356-5 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 11-2356-5 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 11-2356-5 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 11-2356-5 ',The citation request points to the software itself.,NA,
,D11,' 11-2356-5 ',The citation request points to a software publication.,NA,
,D12,' 11-2356-5 ',The citation request points to a domain science publication.,NA,
,D13,' 11-2356-5 ',The citation request points to a project.,NA,
,D14,' 11-2356-5 ',The citation request points to a non-software product other than the ones specified above.,NA,
,D15,' 11-2356-5 ',OPTIONAL please specify the type of the requested citation object:,NA,
,D16,' 11-2356-5 ',OPTIONAL please copy and paste the link to the citation request:,NA,
,D17,' 11-2356-5 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 11-2356-5 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 11-2356-5 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 12-3586-0 ',The extracted mention is a mention of software.,1,
,A2,' 12-3586-0 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 12-3586-0 ',The name of the mentioned software is given in context.,1,
,A4,' 12-3586-0 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 12-3586-0 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 12-3586-0 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 12-3586-0 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 12-3586-0 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 12-3586-0 ',The URL of the mentioned software is given in context.,0,
,A10,' 12-3586-0 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,0,
Check `context`,A11,' 12-3586-0 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 12-3586-0 ',The mentioned software is used according to the context.,1,
,A13,' 12-3586-0 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 12-3586-0 ',The mention has an extracted reference entry from bibliography.,1,
,B2,' 12-3586-0 ',The extracted reference entry is the reference of this work.,1,
,B3,' 12-3586-0 ',The reference is a software publication.,1,
,B4,' 12-3586-0 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",0,
,B5,' 12-3586-0 ',The reference is a domain science publication.,0,
,B6,' 12-3586-0 ',The reference is a software manual/user guide.,0,
,B7,' 12-3586-0 ',The reference points to a project but the not the software product.,0,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 12-3586-0 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 12-3586-0 ',The reference string contains the name of the software.,1,
,B10,' 12-3586-0 ',The reference string contains version/release date of the software.,0,
,B11,' 12-3586-0 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,0,
,B12,' 12-3586-0 ',The reference string contains the publisher/creator of the mentioned software.,1,
Citation functions,C1,' 12-3586-0 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 12-3586-0 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 12-3586-0 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 12-3586-0 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 12-3586-0 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 12-3586-0 ',There is no access to the software.,0,
,C7,' 12-3586-0 ',There is only purchase access to the software.,0,
,C8,' 12-3586-0 ',There is free access to the software.,1,
,C9,' 12-3586-0 ',The source code of the software is accessible.,1,
,C10,' 12-3586-0 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",1,
,C11,' 12-3586-0 ',The software has an open souce license.,1,
Citation request,D1,' 12-3586-0 ',The software citation matches its citation request.,1,
,D2,' 12-3586-0 ',The software has a publically accessible citation request in plain text style.,1,
,D3,' 12-3586-0 ',The software has a publically accessible citation request in BibTex format.,1,
,D4,' 12-3586-0 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 12-3586-0 ',The citation request is on project/software website.,1,
,D6,' 12-3586-0 ',The software has a publically accessible CITATION file.,0,
,D7,' 12-3586-0 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 12-3586-0 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 12-3586-0 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 12-3586-0 ',The citation request points to the software itself.,0,
,D11,' 12-3586-0 ',The citation request points to a software publication.,1,
,D12,' 12-3586-0 ',The citation request points to a domain science publication.,0,
,D13,' 12-3586-0 ',The citation request points to a project.,0,
,D14,' 12-3586-0 ',The citation request points to a non-software product other than the ones specified above.,0,
,D15,' 12-3586-0 ',OPTIONAL please specify the type of the requested citation object:,0,
,D16,' 12-3586-0 ',OPTIONAL please copy and paste the link to the citation request:,0,
,D17,' 12-3586-0 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",NA,
,D18,' 12-3586-0 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",NA,
,D19,' 12-3586-0 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",NA,
Check `context`,A1,' 12-5455-0 ',The extracted mention is a mention of software.,1,this is a database but presumably software involved as well
,A2,' 12-5455-0 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 12-5455-0 ',The name of the mentioned software is given in context.,1,
,A4,' 12-5455-0 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 12-5455-0 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 12-5455-0 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 12-5455-0 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 12-5455-0 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 12-5455-0 ',The URL of the mentioned software is given in context.,0,
,A10,' 12-5455-0 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 12-5455-0 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 12-5455-0 ',The mentioned software is used according to the context.,0,"We should write this code to ""language indicates software used"""
,A13,' 12-5455-0 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 12-5455-0 ',The mention has an extracted reference entry from bibliography.,0,
,B2,' 12-5455-0 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 12-5455-0 ',The reference is a software publication.,NA,
,B4,' 12-5455-0 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 12-5455-0 ',The reference is a domain science publication.,NA,
,B6,' 12-5455-0 ',The reference is a software manual/user guide.,NA,
,B7,' 12-5455-0 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 12-5455-0 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 12-5455-0 ',The reference string contains the name of the software.,NA,
,B10,' 12-5455-0 ',The reference string contains version/release date of the software.,NA,
,B11,' 12-5455-0 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 12-5455-0 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 12-5455-0 ',The software is an identifiable entity with the extracted information.,0,putative future software
,C2,' 12-5455-0 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",0,
,C3,' 12-5455-0 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 12-5455-0 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 12-5455-0 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 12-5455-0 ',There is no access to the software.,0,assuming crisnetwork.co
,C7,' 12-5455-0 ',There is only purchase access to the software.,NA,
,C8,' 12-5455-0 ',There is free access to the software.,NA,
,C9,' 12-5455-0 ',The source code of the software is accessible.,NA,
,C10,' 12-5455-0 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",NA,
,C11,' 12-5455-0 ',The software has an open souce license.,NA,
Citation request,D1,' 12-5455-0 ',The software citation matches its citation request.,NA,
,D2,' 12-5455-0 ',The software has a publically accessible citation request in plain text style.,0,
,D3,' 12-5455-0 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 12-5455-0 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 12-5455-0 ',The citation request is on project/software website.,0,
,D6,' 12-5455-0 ',The software has a publically accessible CITATION file.,0,
,D7,' 12-5455-0 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 12-5455-0 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 12-5455-0 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 12-5455-0 ',The citation request points to the software itself.,NA,
,D11,' 12-5455-0 ',The citation request points to a software publication.,NA,
,D12,' 12-5455-0 ',The citation request points to a domain science publication.,NA,
,D13,' 12-5455-0 ',The citation request points to a project.,NA,
,D14,' 12-5455-0 ',The citation request points to a non-software product other than the ones specified above.,NA,
,D15,' 12-5455-0 ',OPTIONAL please specify the type of the requested citation object:,,
,D16,' 12-5455-0 ',OPTIONAL please copy and paste the link to the citation request:,,
,D17,' 12-5455-0 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 12-5455-0 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 12-5455-0 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 13-1933-1 ',The extracted mention is a mention of software.,1,
,A2,' 13-1933-1 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 13-1933-1 ',The name of the mentioned software is given in context.,1,
,A4,' 13-1933-1 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 13-1933-1 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 13-1933-1 ',The extracted `version` is an existing version of the mentioned software.,NA,
Check `publisher`,A7,' 13-1933-1 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 13-1933-1 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 13-1933-1 ',The URL of the mentioned software is given in context.,0,
,A10,' 13-1933-1 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 13-1933-1 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 13-1933-1 ',The mentioned software is used according to the context.,1,maybe insufficent to tell?
,A13,' 13-1933-1 ',The mentioned software is not used according to the context.,1,"Ok, this is a weird one, some parts weren't used"
Check `tei`,B1,' 13-1933-1 ',The mention has an extracted reference entry from bibliography.,0,
,B2,' 13-1933-1 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 13-1933-1 ',The reference is a software publication.,NA,
,B4,' 13-1933-1 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 13-1933-1 ',The reference is a domain science publication.,NA,
,B6,' 13-1933-1 ',The reference is a software manual/user guide.,NA,
,B7,' 13-1933-1 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 13-1933-1 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 13-1933-1 ',The reference string contains the name of the software.,NA,
,B10,' 13-1933-1 ',The reference string contains version/release date of the software.,NA,
,B11,' 13-1933-1 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 13-1933-1 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 13-1933-1 ',The software is an identifiable entity with the extracted information.,NA,
,C2,' 13-1933-1 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",0,
,C3,' 13-1933-1 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
,C4,' 13-1933-1 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 13-1933-1 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 13-1933-1 ',There is no access to the software.,1,
,C7,' 13-1933-1 ',There is only purchase access to the software.,NA,
,C8,' 13-1933-1 ',There is free access to the software.,NA,
,C9,' 13-1933-1 ',The source code of the software is accessible.,0,
,C10,' 13-1933-1 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",NA,
,C11,' 13-1933-1 ',The software has an open souce license.,NA,
Citation request,D1,' 13-1933-1 ',The software citation matches its citation request.,NA,
,D2,' 13-1933-1 ',The software has a publically accessible citation request in plain text style.,0,
,D3,' 13-1933-1 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 13-1933-1 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
,D5,' 13-1933-1 ',The citation request is on project/software website.,0,
,D6,' 13-1933-1 ',The software has a publically accessible CITATION file.,0,
,D7,' 13-1933-1 ',The software has a publically accessible CITATION.cff.,0,
,D8,' 13-1933-1 ',The software has a publically accessible CodeMeta file.,0,
,D9,' 13-1933-1 ',"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",0,
,D10,' 13-1933-1 ',The citation request points to the software itself.,NA,these  feel like they should be NA since I can't find the software?
,D11,' 13-1933-1 ',The citation request points to a software publication.,NNA,
,D12,' 13-1933-1 ',The citation request points to a domain science publication.,NA,
,D13,' 13-1933-1 ',The citation request points to a project.,NA,
,D14,' 13-1933-1 ',The citation request points to a non-software product other than the ones specified above.,NA,
,D15,' 13-1933-1 ',OPTIONAL please specify the type of the requested citation object:,NA,
,D16,' 13-1933-1 ',OPTIONAL please copy and paste the link to the citation request:,NA,
,D17,' 13-1933-1 ',"The software has at least one version published to an archival repository (e.g., institutional repository, Zenodo, figshare)",,
,D18,' 13-1933-1 ',"The software has at least one version that has a unique, persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.",,
,D19,' 13-1933-1 ',"The metadata of the software itself is publically accessible, including a unique and persistent identifier, name of the software, authors/contributors, version/release date, access information (e.g., not available/online location/working repository)",,
Check `context`,A1,' 13-3518-0 ',The extracted mention is a mention of software.,1,
,A2,' 13-3518-0 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 13-3518-0 ',The name of the mentioned software is given in context.,1,
,A4,' 13-3518-0 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 13-3518-0 ',The version/release date of the mentioned software is given in context.,1,
,A6,' 13-3518-0 ',The extracted `version` is an existing version of the mentioned software.,1,
Check `publisher`,A7,' 13-3518-0 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 13-3518-0 ',The extracted `publisher` is the publisher/creator of the mentioned software.,NA,
Check `URL`,A9,' 13-3518-0 ',The URL of the mentioned software is given in context.,0,
,A10,' 13-3518-0 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,NA,
Check `context`,A11,' 13-3518-0 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 13-3518-0 ',The mentioned software is used according to the context.,1,
,A13,' 13-3518-0 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 13-3518-0 ',The mention has an extracted reference entry from bibliography.,0,"Note that this seems to be an error, there is a ref after it. Should we not have a code for that?"
,B2,' 13-3518-0 ',The extracted reference entry is the reference of this work.,NA,
,B3,' 13-3518-0 ',The reference is a software publication.,NA,
,B4,' 13-3518-0 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",NA,
,B5,' 13-3518-0 ',The reference is a domain science publication.,NA,
,B6,' 13-3518-0 ',The reference is a software manual/user guide.,NA,
,B7,' 13-3518-0 ',The reference points to a project but the not the software product.,NA,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 13-3518-0 ',Paste the reference string from the publication if the extracted one is not correct:,NA,
,B9,' 13-3518-0 ',The reference string contains the name of the software.,NA,
,B10,' 13-3518-0 ',The reference string contains version/release date of the software.,NA,
,B11,' 13-3518-0 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,NA,
,B12,' 13-3518-0 ',The reference string contains the publisher/creator of the mentioned software.,NA,
Citation functions,C1,' 13-3518-0 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 13-3518-0 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 13-3518-0 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",1,
,C4,' 13-3518-0 ',"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",0,
,C5,' 13-3518-0 ',Either or both in-text mention and references contains a commit hash that points to a snapshot of the software,0,
Access to software,C6,' 13-3518-0 ',There is no access to the software.,0,
,C7,' 13-3518-0 ',There is only purchase access to the software.,0,
,C8,' 13-3518-0 ',There is free access to the software.,1,
,C9,' 13-3518-0 ',The source code of the software is accessible.,1,
,C10,' 13-3518-0 ',"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",1,
,C11,' 13-3518-0 ',The software has an open souce license.,1,
Citation request,D1,' 13-3518-0 ',The software citation matches its citation request.,0,
,D2,' 13-3518-0 ',The software has a publically accessible citation request in plain text style.,1,
,D3,' 13-3518-0 ',The software has a publically accessible citation request in BibTex format.,0,
,D4,' 13-3518-0 ',"The citation request is in a working repository README. (e.g., GitHub)",0,
