software-name.normalizedForm,version.normalizedForm,publisher.normalizedForm,url.normalizedForm,context
Rosetta,NA,NA,NA,"For a comprehensive understanding of the structural and residue- specific changes of nsp12 upon interaction with remdesivir and molnupiravir, the Rosetta  total score, root mean square deviation (RMSD) from the starting structure, Rosetta  interface delta (representing the binding affinity between the designed nsp12 with  remdesivir and molnupiravir), and the percentage sequence identity from the starting  sequence were obtained."
Google,NA,NA,NA,"For example, Google is not a major search engine in China. 15"
PyMOL,2.3,Schrodinger L.L.C,NA,"Analysis of pro- tein-ligand interactions was performed in Protein-Ligand Interaction Profiler (PLIP) (Salentin et al., 2015) and PyMOL 2.3 (Schrodinger L.L.C)."
FlowJo,NA,TreeStar,NA,The data were exported and analyzed using FlowJo (TreeStar).
Rosetta,NA,NA,NA,"Our results in the subsequent TRIM21 assay identi- fied A2N, derived from the original Rosetta energy function, as the optimal mutation in  the 23-mer peptide, which achieved over 50% depletion of GFP+ cells, improving on both  the sACE2 and 23-mer architecture as well as that of a previously optimized full-length  mutant, sACE2v2.4"
ANNIE,NA,NA,NA,We predicted the domain organization of proteins encoded by overlapping genes using ANNIE (Ooi et al. 2009).
z,NA,NA,NA,"We reduce each processor's load by allocating subsets of z-Leaf instances to different processor cores, but withhold one solely for the central z-Tree instance. 19"
Gene Set Enrichment Analysis (GSEA),NA,NA,http://www.gsea-msigdb.org/gsea/ index.jsp,"Identification of significantly enriched pathways in the REACTOME database was con- ducted using the Gene Set Enrichment Analysis (GSEA) preranked tool [47, 48] (http://www.gsea-msigdb.org/gsea/ index.jsp)."
Boot,NA,NA,NA,This technique is usually easier to calculate estimated average error and has been used to validate the shortlisted differentially expressed genes using the 'Boot' package of Bioconductor.
AView,NA,NA,NA,"In this study, we introduce AView, an image-based computational tool for IA flow visualization and clinical management and share our clinical experience with its application via the illustration of 12 aneurysm cases."
Vector NTI,NA,NA,http://www.ncbi.nlm.nih.gov/BLAST,The results were analyzed using alignment program BLAST and Vector NTI (http://www.ncbi.nlm.nih.gov/BLAST).
Excel,NA,NA,NA,"Participants continued to develop new educational materials, leveraging the use of easily accessible tools such as Excel to engage students in quantitative biology, especially in bioinformatics and evolutionary biology."
MoCap Pro,NA,NA,NA,"The increased signal to noise ratio means that gloves can be calibrated even faster than the previous MoCap Pro because considerably fewer poses are necessary, saving time and money [75]."
cell,3.1.0,Genomics,NA,NA
I-TASSER,NA,NA,NA,"I-TASSER also provides functional annotations on ligand-binding (i.e., active) sites, Gene Ontology terms, and Enzyme Commission numbers not provided by the other programs, though 3DLigandSite competes by providing active site characterization and ligand predictions for models produced by Phrye2."
MetaPhlAn,2,NA,NA,"A further species level identification based on both MetaPhlAn and multiple reference gene mapping identified several disease-causing bacterial species, including Haemophilus influenzae (three cases), Klebsiella pnemoniae, Moraxella catarrhalis, and Streptococcus pneumoniae that may be responsible for some of the ARIs observed (Fig. 4 and Table 1)."
SigmaPlot,10,NA,NA,"The means, standard deviations, and other summary statistics of the quantifiable data were calculated using SigmaPlot 10 and SPSS 17 software."
BLASTp,NA,NA,http://tools.iedb.org/conservancy,The homologous protein sets for four structural proteins of cor- onavirus were sorted to identify conserved regions through BLASTp analysis and MSA.
QuantaSoft,NA,Bio-Rad,NA,"Positive droplets containing amplification products were discriminated from negative droplets by applying a fluorescence amplitude threshold in the QuantaSoft software (Bio-Rad, Hercules, CA, USA)."
SimDemics,NA,NA,NA,SimDemics is a tool for simulating the spread of disease on a social contact network.
TreeAnnotator,NA,NA,NA,The Maximum Clade Credibility (MCC) tree is generated after a 10%  burning using TreeAnnotator.
MEGA,10.1.8,NA,NA,Sequence identities were calculated using MEGA v10.1.8
BLAST,NA,NCBI,NA,"Then, the BLAST program from NCBI was used to derive the similar sequences against the proteins."
